,portfolio,investment,cash
2017-01-03,100000.0,0.0,100000.0
2017-01-04,100000.0,0.0,100000.0
2017-01-05,100000.0,0.0,100000.0
2017-01-06,100000.0,0.0,100000.0
2017-01-09,100000.0,0.0,100000.0
2017-01-10,100000.0,0.0,100000.0
2017-01-11,100000.0,0.0,100000.0
2017-01-12,100000.0,0.0,100000.0
2017-01-13,100000.0,0.0,100000.0
2017-01-16,100000.0,0.0,100000.0
2017-01-17,100000.0,0.0,100000.0
2017-01-18,100000.0,0.0,100000.0
2017-01-19,100000.0,0.0,100000.0
2017-01-20,100000.0,0.0,100000.0
2017-01-23,100000.0,0.0,100000.0
2017-01-24,100000.0,0.0,100000.0
2017-01-25,100000.0,0.0,100000.0
2017-01-27,100000.0,0.0,100000.0
2017-01-30,100000.0,0.0,100000.0
2017-01-31,100000.0,0.0,100000.0
2017-02-01,100000.0,0.0,100000.0
2017-02-02,101878.73380044001,97027.08129492,4851.652505520004
2017-02-03,102157.95621472,89865.9437112,12292.012503520004
2017-02-06,103449.07208074,84297.05961722,19152.012463520005
2017-02-07,103051.24632832,83899.2338648,19152.012463520005
2017-02-08,102257.74990406,83255.74381618,19002.006087880003
2017-02-09,102513.81614576,83511.81005788001,19002.006087880003
2017-02-10,102523.72586387998,83521.71977599998,19002.006087880003
2017-02-13,101491.77838432,82489.77229644,19002.006087880003
2017-02-14,101326.81307461999,82324.80698673999,19002.006087880003
2017-02-15,100394.75423868,81392.7481508,19002.006087880003
2017-02-16,101915.72477219999,82913.71868431999,19002.006087880003
2017-02-17,101369.59711884,82367.59103096,19002.006087880003
2017-02-20,102090.12460176,83088.11851388,19002.006087880003
2017-02-21,103561.52458079999,84559.51849291999,19002.006087880003
2017-02-22,103155.04112729999,84153.03503941999,19002.006087880003
2017-02-23,103663.67455885999,78581.96847097999,25081.706087880004
2017-02-27,103385.85556284,72097.32923896001,31288.526323880003
2017-02-28,104224.46650658,66892.81517511001,37331.651331470006
2017-03-01,104635.00259866001,67303.35126719,37331.651331470006
2017-03-02,103932.58363201,66600.93230054001,37331.651331470006
2017-03-03,104582.45278439001,67308.80145292,37273.651331470006
2017-03-06,104870.27667124002,67942.22532777001,36928.051343470004
2017-03-07,105361.2712476,68433.21990413,36928.051343470004
2017-03-08,104653.58195081001,61283.08267434001,43370.49927647
2017-03-09,104167.2588624,60796.759585930005,43370.49927647
2017-03-10,103981.62472243998,60611.125445969985,43370.49927647
2017-03-14,104846.95834939,61476.45907292,43370.49927647
2017-03-15,105626.41191042,62255.91263395001,43370.49927647
2017-03-16,106361.87292358,62991.37364711,43370.49927647
2017-03-17,105731.35737369,55023.823206529996,50707.53416716
2017-03-20,105160.9545397,54453.42037254,50707.53416716
